Price,Close,High,Low,Open,Volume
Ticker,LLY,LLY,LLY,LLY,LLY
Date,,,,,
2023-02-23,322.04425048828125,327.2654713029307,320.2448590806188,322.5260786852768,2229500
2023-02-24,316.2626037597656,321.75914248726576,314.7384997787834,320.5496957161156,2594600
2023-02-27,311.32647705078125,317.9931221361172,310.6185134130748,317.2065092086033,3043500
2023-02-28,306.0167236328125,310.2153228320501,304.4631528072482,310.2153228320501,3966900
2023-03-01,308.9174499511719,311.6116306810872,304.03054146935085,304.81715438093863,3580800
2023-03-02,309.7827453613281,311.01184692204976,305.33832492040926,306.57726889597257,2885200
2023-03-03,313.1062316894531,314.80731900273923,309.9695621969979,311.08067477679924,3002800
2023-03-06,313.62738037109375,314.8859791759085,311.20851688833596,311.64116304068125,2673700
2023-03-07,305.4366149902344,314.9941085481169,304.4238366505785,313.6666730525358,2620800
2023-03-08,307.3147277832031,307.7965259894374,304.14856098360207,305.30882564741955,2313200
2023-03-09,311.5526428222656,313.440525853069,307.08853793553897,307.08853793553897,3920300
2023-03-10,309.7532043457031,321.0707795196326,309.0845803929364,313.5191877996179,4597300
2023-03-13,319.0649108886719,326.2526941480091,311.9361221014675,311.9361221014675,5275600
2023-03-14,321.6017761230469,321.80825676453486,316.06589839244504,318.6322478158746,4214300
2023-03-15,323.9616394042969,325.8200251608537,319.0747309229939,320.549652637584,4743500
2023-03-16,324.0206298828125,326.15436314021946,319.6057072071861,322.16224414913694,3498200
2023-03-17,323.6764831542969,329.3500346190303,322.6145527109449,325.9577026339235,8679800
2023-03-20,328.0225830078125,328.35689498301514,323.50932633153985,323.6764673154622,3540900
2023-03-21,325.5447082519531,328.8485485026611,322.59486481723775,328.7993964483596,3240400
2023-03-22,325.4366149902344,329.98921223739694,325.121957770602,326.2232280319513,2472200
2023-03-23,327.0786437988281,329.73348479924516,324.68924788888717,325.3579018512518,2703400
2023-03-24,330.5103454589844,331.2969584895862,323.27337954652035,327.4228277987768,2791900
2023-03-27,329.005859375,330.598769942816,317.8554553929307,322.31952994518207,3102300
2023-03-28,332.0048522949219,333.1651167732679,329.12384591810496,330.18577628649547,2433200
2023-03-29,330.254638671875,334.0894291974668,328.9861975724009,333.3323135063114,2743800
2023-03-30,334.9941101074219,335.6037397151733,330.45135528076963,330.45135528076963,2146900
2023-03-31,337.67840576171875,337.9045412081323,334.9940375783565,336.2821334080736,2933600
2023-04-03,344.8760681152344,345.66271114723435,336.5771716736564,337.50145848165414,3039600
